Total time = 0.000770 seconds
Total time = 0.000775 seconds
Total time = 0.000721 seconds
Total time = 0.000743 seconds
Total time = 0.000739 seconds
Total time = 0.000633 seconds
Total time = 0.000858 seconds
Total time = 0.000815 seconds
Total time = 0.000756 seconds
Total time = 0.000751 seconds
Total time = 0.000723 seconds
Total time = 0.000837 seconds
Total time = 0.000721 seconds
Total time = 0.000741 seconds
Total time = 0.000796 seconds
Total time = 0.000720 seconds
Total time = 0.000542 seconds
Total time = 0.000519 seconds
Total time = 0.000558 seconds
Total time = 0.000545 seconds
Total time = 0.000533 seconds
Total time = 0.000542 seconds
Total time = 0.000531 seconds
Total time = 0.000525 seconds
Total time = 0.000525 seconds
Total time = 0.000542 seconds
Total time = 0.000542 seconds
Total time = 0.000524 seconds
Total time = 0.000649 seconds
Total time = 0.000647 seconds
Total time = 0.000641 seconds
Total time = 0.000640 seconds
Total time = 0.000635 seconds
Total time = 0.000986 seconds
Total time = 0.000727 seconds
Total time = 0.000648 seconds
Total time = 0.000641 seconds
Total time = 0.000634 seconds
Total time = 0.000632 seconds
Total time = 0.000657 seconds
Total time = 0.000678 seconds
Total time = 0.000729 seconds
Total time = 0.000700 seconds
Total time = 0.000710 seconds
Total time = 0.000731 seconds
Total time = 0.000598 seconds
Total time = 0.000616 seconds
Total time = 0.000542 seconds
Total time = 0.000526 seconds
Total time = 0.000530 seconds
