Total time = 0.000324 seconds
Total time = 0.000322 seconds
Total time = 0.000338 seconds
Total time = 0.000322 seconds
Total time = 0.000317 seconds
Total time = 0.000343 seconds
Total time = 0.000318 seconds
Total time = 0.000369 seconds
Total time = 0.000412 seconds
Total time = 0.000346 seconds
Total time = 0.000308 seconds
Total time = 0.000305 seconds
Total time = 0.000360 seconds
Total time = 0.000332 seconds
Total time = 0.000322 seconds
Total time = 0.000349 seconds
Total time = 0.000319 seconds
Total time = 0.000309 seconds
Total time = 0.000329 seconds
Total time = 0.000325 seconds
Total time = 0.000317 seconds
Total time = 0.000309 seconds
Total time = 0.000464 seconds
Total time = 0.000401 seconds
Total time = 0.000320 seconds
Total time = 0.000321 seconds
Total time = 0.000329 seconds
Total time = 0.000372 seconds
Total time = 0.000314 seconds
Total time = 0.000278 seconds
Total time = 0.000275 seconds
Total time = 0.000289 seconds
Total time = 0.000361 seconds
Total time = 0.000288 seconds
Total time = 0.000269 seconds
Total time = 0.000284 seconds
Total time = 0.000313 seconds
Total time = 0.000277 seconds
Total time = 0.000283 seconds
Total time = 0.000309 seconds
Total time = 0.000266 seconds
Total time = 0.000358 seconds
Total time = 0.000287 seconds
Total time = 0.000271 seconds
Total time = 0.000279 seconds
Total time = 0.000244 seconds
Total time = 0.000227 seconds
Total time = 0.000234 seconds
Total time = 0.000316 seconds
Total time = 0.000284 seconds
