Total time = 0.000596 seconds
Total time = 0.000584 seconds
Total time = 0.000579 seconds
Total time = 0.000667 seconds
Total time = 0.000587 seconds
Total time = 0.000585 seconds
Total time = 0.000581 seconds
Total time = 0.000592 seconds
Total time = 0.000562 seconds
Total time = 0.000927 seconds
Total time = 0.000687 seconds
Total time = 0.000565 seconds
Total time = 0.000570 seconds
Total time = 0.000567 seconds
Total time = 0.000584 seconds
Total time = 0.000570 seconds
Total time = 0.000582 seconds
Total time = 0.000548 seconds
Total time = 0.000628 seconds
Total time = 0.000560 seconds
Total time = 0.000568 seconds
Total time = 0.000476 seconds
Total time = 0.000607 seconds
Total time = 0.000499 seconds
Total time = 0.000506 seconds
Total time = 0.000496 seconds
Total time = 0.000504 seconds
Total time = 0.000543 seconds
Total time = 0.000509 seconds
Total time = 0.000516 seconds
Total time = 0.000514 seconds
Total time = 0.000499 seconds
Total time = 0.000505 seconds
Total time = 0.000517 seconds
Total time = 0.000507 seconds
Total time = 0.000485 seconds
Total time = 0.000502 seconds
Total time = 0.000515 seconds
Total time = 0.000520 seconds
Total time = 0.000540 seconds
Total time = 0.000523 seconds
Total time = 0.000503 seconds
Total time = 0.000490 seconds
Total time = 0.000520 seconds
Total time = 0.000591 seconds
Total time = 0.000528 seconds
Total time = 0.000564 seconds
Total time = 0.000554 seconds
Total time = 0.000495 seconds
Total time = 0.000496 seconds
